"population","sampleSize","pollster","startDate","endDate","pollsterRating","wtpolls","wtplus","wtnow","polltype","choice","party","pct","adj_pct","polltypeA","polltype1"
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"polls","Clinton","D",45,45.93371,"polls",1
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"plus","Clinton","D",45,45.4965,"plus",1
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"now","Clinton","D",45,46.05472,"now",1
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"polls","Trump","R",35,38.90478,"polls",1
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"plus","Trump","R",35,39.34238,"plus",1
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"now","Trump","R",35,38.69929,"now",1
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"polls1","Clinton","D",45,45.96902,"polls",2
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"plus1","Clinton","D",45,45.53569,"plus",2
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"now1","Clinton","D",45,46.09837,"now",2
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"polls1","Trump","R",36,39.87329,"polls",2
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"plus1","Trump","R",36,40.30643,"plus",2
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"now1","Trump","R",36,39.61554,"now",2
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",2.57e-07,2.57e-07,8.9e-10,"polls2","Clinton","D",43,40.59022,"polls",3
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",2.57e-07,2.57e-07,8.9e-10,"plus2","Clinton","D",43,40.58762,"plus",3
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",2.57e-07,2.57e-07,8.9e-10,"now2","Clinton","D",43,40.95456,"now",3
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",2.57e-07,2.57e-07,8.9e-10,"polls2","Trump","R",33,30.87593,"polls",3
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",2.57e-07,2.57e-07,8.9e-10,"plus2","Trump","R",33,30.89789,"plus",3
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",2.57e-07,2.57e-07,8.9e-10,"now2","Trump","R",33,30.57144,"now",3
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",3.43e-07,3.43e-07,1.64e-09,"polls3","Clinton","D",38,35.47673,"polls",4
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",3.43e-07,3.43e-07,1.64e-09,"plus3","Clinton","D",38,35.47816,"plus",4
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",3.43e-07,3.43e-07,1.64e-09,"now3","Clinton","D",38,35.86426,"now",4
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",3.43e-07,3.43e-07,1.64e-09,"polls3","Trump","R",41,39.22788,"polls",4
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",3.43e-07,3.43e-07,1.64e-09,"plus3","Trump","R",41,39.25167,"plus",4
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",3.43e-07,3.43e-07,1.64e-09,"now3","Trump","R",41,38.87747,"now",4
