"population","sampleSize","pollster","startDate","endDate","pollsterRating","wtpolls","wtplus","wtnow","polltype","choice","party","pct","adj_pct","polltypeA","polltype1"
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",1.08e-06,1.08e-06,2.74e-09,"polls","Clinton","D",43,38.40215,"polls",1
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",1.08e-06,1.08e-06,2.74e-09,"plus","Clinton","D",43,38.38409,"plus",1
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",1.08e-06,1.08e-06,2.74e-09,"now","Clinton","D",43,38.2376,"now",1
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",1.08e-06,1.08e-06,2.74e-09,"polls","Trump","R",33,31.04739,"polls",1
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",1.08e-06,1.08e-06,2.74e-09,"plus","Trump","R",33,30.97018,"plus",1
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",1.08e-06,1.08e-06,2.74e-09,"now","Trump","R",33,31.62379,"now",1
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",1.37e-06,1.37e-06,4.98e-09,"polls1","Clinton","D",38,33.32405,"polls",2
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",1.37e-06,1.37e-06,4.98e-09,"plus1","Clinton","D",38,33.30952,"plus",2
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",1.37e-06,1.37e-06,4.98e-09,"now1","Clinton","D",38,33.22817,"now",2
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",1.37e-06,1.37e-06,4.98e-09,"polls1","Trump","R",41,39.36384,"polls",2
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",1.37e-06,1.37e-06,4.98e-09,"plus1","Trump","R",41,39.29002,"plus",2
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",1.37e-06,1.37e-06,4.98e-09,"now1","Trump","R",41,39.83624,"now",2
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",1.66e-06,1.66e-06,2.02e-09,"polls2","Clinton","D",44,41.41845,"polls",3
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",1.66e-06,1.66e-06,2.02e-09,"plus2","Clinton","D",44,41.36155,"plus",3
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",1.66e-06,1.66e-06,2.02e-09,"now2","Clinton","D",44,41.27207,"now",3
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",1.66e-06,1.66e-06,2.02e-09,"polls2","Trump","R",43,42.86876,"polls",3
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",1.66e-06,1.66e-06,2.02e-09,"plus2","Trump","R",43,42.98893,"plus",3
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",1.66e-06,1.66e-06,2.02e-09,"now2","Trump","R",43,43.34286,"now",3
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",2.38e-06,2.38e-06,6.16e-09,"polls3","Clinton","D",43.5,38.89761,"polls",4
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",2.38e-06,2.38e-06,6.16e-09,"plus3","Clinton","D",43.5,38.8798,"plus",4
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",2.38e-06,2.38e-06,6.16e-09,"now3","Clinton","D",43.5,38.73812,"now",4
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",2.38e-06,2.38e-06,6.16e-09,"polls3","Trump","R",30.6,28.6659,"polls",4
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",2.38e-06,2.38e-06,6.16e-09,"plus3","Trump","R",30.6,28.58896,"plus",4
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",2.38e-06,2.38e-06,6.16e-09,"now3","Trump","R",30.6,29.23066,"now",4
"rv",2047,"Morning Consult",2015-12-03,2015-12-07,"",2.55e-06,2.55e-06,5.06e-09,"polls4","Clinton","D",40,37.34375,"polls",5
