cluster	men2012	women2012	paperN	label	men1990_2012	women1990_2012	men1989	women1989	men1900	women1900	men1901_1910	women1901_1910	men1911_1920	women1911_1920	men1921_1930	women1921_1930	men1931_1940	women1931_1940	men1941_1950	women1941_1950	men1951_1960	women1951_1960	men1961_1970	women1961_1970	men1971_1980	women1971_1980	men1981_1990	women1981_1990	men1991_2000	women1991_2000	men2001_2010	women2001_2010	men2011_2020	women2011_2020	men2010	women2010	firstM1901_1910	firstF1901_1910	firstM1911_1920	firstF1911_1920	firstM1921_1930	firstF1921_1930	firstM1931_1940	firstF1931_1940	firstM1941_1950	firstF1941_1950	firstM1951_1960	firstF1951_1960	firstM1961_1970	firstF1961_1970	firstM1971_1980	firstF1971_1980	firstM1981_1990	firstF1981_1990	firstM1991_2000	firstF1991_2000	firstM2001_2010	firstF2001_2010	firstM2011_2020	firstF2011_2020	lastM1901_1910	lastF1901_1910	lastM1911_1920	lastF1911_1920	lastM1921_1930	lastF1921_1930	lastM1931_1940	lastF1931_1940	lastM1941_1950	lastF1941_1950	lastM1951_1960	lastF1951_1960	lastM1961_1970	lastF1961_1970	lastM1971_1980	lastF1971_1980	lastM1981_1990	lastF1981_1990	lastM1991_2000	lastF1991_2000	lastM2001_2010	lastF2001_2010	firstM2012	firstF2012	lastM2012	lastF2012	firstM1900	firstF1900	lastM1900	lastF1900
1	351753	80479	328223	Ecology and evolution	215505	63507	136248	16972	1272	39	1022	127	1291	142	2357	300	5109	626	6780	639	11432	963	22171	1882	36135	4138	54689	9375	80751	19644	125373	41219	3371	1385	11284	4265	877	114	1091	108	1742	201	3839	429	4895	387	8233	532	15234	973	22469	2188	29730	4868	34551	8623	37324	14127	746	410	77	10	81	25	211	70	595	147	964	191	2222	335	5242	713	10013	1423	16993	2839	26246	5319	37968	9253	161901	32995	101543	20564	1170	35	72	1
10	35529	21124	43033	Education	15364	13271	20165	7853	20	2	23	4	66	20	150	60	417	143	521	218	1560	392	3995	922	6594	2164	7603	4446	7714	6132	6697	6436	169	185	508	467	23	4	57	15	127	50	354	94	397	160	1173	268	2857	568	4345	1265	4796	2483	4544	3268	3366	3100	88	71	0	0	6	5	21	8	49	38	89	43	273	83	849	253	1620	613	1846	1280	1995	1616	1915	1752	22145	11348	8706	5749	18	2	1	0
10:01	5415	4837	7213	Student learning	2058	2758	3357	2079	1	1	5	0	6	2	20	8	20	10	46	23	89	38	434	98	1337	613	1571	1427	1109	1338	755	1236	22	43	57	100	5	0	6	2	16	7	17	9	34	18	65	31	312	66	842	364	907	802	575	698	354	580	15	18	0	0	0	0	4	1	3	1	9	5	23	7	97	20	357	162	423	398	332	336	234	340	3149	2596	1486	1286	1	1	0	0
10:10	2107	875	2642	Early work in early reading	47	19	2060	856	0	0	0	0	5	6	23	14	118	69	128	64	388	152	1001	338	307	151	93	64	24	9	20	8	0	0	0	1	0	0	4	5	16	12	97	53	109	55	294	120	739	235	209	88	53	42	17	3	10	6	0	0	0	0	1	1	5	1	19	14	12	8	64	21	201	80	62	42	26	15	5	5	7	1	1548	619	402	188	0	0	0	0
10:11	771	467	806	Small-group learning	313	252	458	215	1	0	0	0	0	0	0	0	0	1	1	0	5	1	58	11	194	71	218	149	188	159	100	73	6	2	8	4	0	0	0	0	0	0	0	1	1	0	3	1	40	6	111	36	122	75	76	66	52	33	3	0	0	0	0	0	0	0	0	0	0	0	2	0	12	3	59	24	60	54	54	49	25	27	409	218	213	159	1	0	0	0
10:12	658	319	719	Early work in socialization	55	36	603	283	0	0	0	0	1	1	1	1	7	6	2	4	25	10	229	82	270	122	70	61	17	12	29	19	7	1	7	3	0	0	1	0	0	1	6	5	2	3	19	4	139	42	154	73	41	34	9	8	9	7	4	1	0	0	0	1	1	0	1	1	0	0	4	6	57	23	86	34	22	14	4	0	6	5	384	178	184	84	0	0	0	0
10:13	541	287	632	Reasoning acquisition	52	38	489	249	0	0	0	0	0	0	0	0	2	2	2	0	19	8	132	50	238	124	97	69	35	22	15	12	1	0	0	0	0	0	0	0	0	0	2	2	0	0	14	7	88	24	162	59	60	33	19	9	9	9	1	0	0	0	0	0	0	0	0	0	2	0	3	1	34	22	58	42	25	24	11	5	4	2	355	143	137	96	0	0	0	0
10:14	602	415	598	Learning disabilities assessment	228	193	374	222	1	0	0	0	0	0	0	0	1	1	1	0	2	0	8	1	130	67	244	171	133	99	82	76	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	6	1	67	37	122	72	66	41	43	27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	39	17	74	61	32	36	23	25	309	178	169	140	1	0	0	0
10:15	658	348	720	Media role and influence	411	275	247	73	0	0	0	0	1	0	0	0	1	0	0	1	4	1	0	3	63	10	202	71	233	140	150	122	4	0	16	18	0	0	1	0	0	0	1	0	0	1	3	1	0	1	45	6	134	44	110	76	62	57	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	14	3	50	23	74	29	53	35	356	186	193	92	0	0	0	0
10:17	217	148	302	Study and learning	141	114	76	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	25	10	56	29	73	53	56	55	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	18	4	33	12	39	29	22	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	5	13	14	21	19	18	18	115	74	61	56	0	0	0	0
