cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,poll_id,question_id,createddate,timestamp
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-03,2016-11-06,ABC News/Washington Post,A+,2220,lv,8.720654,47,43,4,45.20163,41.7243,4.626221,48630,76192,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-01,2016-11-07,Google Consumer Surveys,B,26574,lv,7.628472,38.03,35.69,5.46,43.34557,41.21439,5.175792,48847,76443,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-02,2016-11-06,Ipsos,A-,2195,lv,6.424334,42,39,6,42.02638,38.8162,6.844734,48922,76636,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-04,2016-11-07,YouGov,B,3677,lv,6.087135,45,41,5,45.65676,40.92004,6.069454,48687,76262,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-03,2016-11-06,Gravis Marketing,B-,16639,rv,5.316449,47,43,3,46.84089,42.33184,3.726098,48848,76444,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-03,2016-11-06,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1295,lv,5.218141,48,44,3,49.02208,43.95631,3.057876,48619,76163,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-02,2016-11-06,CBS News/New York Times,A-,1426,lv,4.881873,45,41,5,45.11649,40.92722,4.341786,48521,76058,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-03,2016-11-05,NBC News/Wall Street Journal,A-,1282,lv,4.836171,44,40,6,43.58576,40.77325,5.365788,48480,75974,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,New Mexico,2016-11-06,2016-11-06,Zia Poll,NA,8439,lv,4.609492,46,44,6,44.82594,41.59978,7.870127,48614,76158,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-04,2016-11-07,IBD/TIPP,A-,1107,lv,4.520075,41.2,42.7,7.1,42.92745,42.23545,6.316175,48916,76611,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-04,2016-11-06,Selzer & Company,A+,799,lv,4.150419,44,41,4,44.21714,40.57082,4.068708,48513,76036,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-01,2016-11-04,Angus Reid Global,A-,1151,lv,4.141083,48,44,6,47.57171,43.68125,5.556625,48626,76181,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-03,2016-11-06,Monmouth University,A+,748,lv,3.965234,50,44,4,48.86765,43.396,4.8386,48623,76176,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,2016-11-03,2016-11-04,Public Policy Polling,B+,1238,lv,3.923524,48,43,1,47.43805,42.32751,2.207659,48349,75743,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-01,2016-11-03,Marist College,A,940,lv,3.886329,44,43,6,42.83406,43.43819,4.780429,48362,75818,11/4/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Iowa,2016-11-01,2016-11-04,Selzer & Company,A+,800,lv,3.842234,39,46,6,39.37561,45.66917,6.062713,48470,75957,11/5/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-05,2016-11-07,The Times-Picayune/Lucid,NA,2521,lv,3.792648,45,40,5,45.13966,42.26495,3.679914,48771,76354,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,2016-10-26,2016-10-31,Marquette University,A,1255,lv,3.789957,46,40,4,46.10344,40.97982,2.897062,48095,75264,11/2/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,2016-11-04,2016-11-06,Siena College,A,800,lv,3.774139,44,44,3,44.21875,45.0829,2.33525,48524,76066,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,2016-11-06,2016-11-06,Landmark Communications,B,1200,lv,3.752961,46,49,3,45.0647,48.80363,3.662548,48525,76068,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Florida,2016-11-03,2016-11-06,Quinnipiac University,A-,884,lv,3.718829,46,45,2,46.44315,43.93999,2.09831,48522,76060,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,2016-11-03,2016-11-06,Quinnipiac University,A-,870,lv,3.677972,47,45,3,47.43742,43.93745,3.09831,48523,76062,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,2016-10-27,2016-10-30,ABC News/Washington Post,A+,1024,lv,3.632387,48,42,6,46.39152,41.58078,6.088089,47880,74934,11/1/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-01,2016-11-07,USC Dornsife/LA Times,NA,2972,lv,3.611297,43.61,46.84,NA,45.32156,43.38579,NA,48917,76612,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,2016-11-03,2016-11-06,Gravis Marketing,B-,2002,rv,3.572489,44,48,3,43.83075,47.32734,3.726098,48852,76448,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Oregon,2016-11-03,2016-11-06,Gravis Marketing,B-,1963,rv,3.548932,44,40,6,43.84735,39.33472,6.726098,48855,76451,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,2016-11-01,2016-11-05,"RKM Research and Communications, Inc.",B+,1009,lv,3.472548,47.6,44.4,4.3,47.63973,43.1608,4.761112,48509,76029,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Ohio,2016-11-03,2016-11-06,Gravis Marketing,B-,1781,rv,3.417108,42,48,4,41.84073,47.33178,4.726098,48854,76450,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,South Carolina,2016-11-03,2016-11-06,Gravis Marketing,B-,1751,rv,3.393813,43,48,3,42.83107,47.32748,3.726098,48857,76453,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Ohio,2016-11-02,2016-11-04,YouGov,B,1189,lv,3.384065,45,46,NA,44.93624,45.09646,NA,48481,75977,11/6/16,09:35:33  8 Nov 2016
