"Genes","tissue","expression"
"PEC3","Preoptic Area (ref)",-10
"UBE2NL","Preoptic Area (ref)",-10
"TRAPPC9","Preoptic Area (ref)",10
"EIF2C2","Preoptic Area (ref)",10
"MIR344D-3","Preoptic Area (ref)",-10
"MIR344G","Preoptic Area (ref)",-10
"A930009L07RIK","Preoptic Area (ref)",10
"KCNK9","Preoptic Area (ref)",10
"RASGRF1","Preoptic Area (ref)",-10
"INPP5F","Preoptic Area (ref)",-10
"NAP1L5","Preoptic Area (ref)",-12
"USP29","Preoptic Area (ref)",-10
"HERC3-new","Preoptic Area (ref)",10
"GM9801-new","Preoptic Area (ref)",-3.5
"BEGAIN","Preoptic Area (ref)",-10
"PX00010K13","Preoptic Area (ref)",-10
"PEG13","Preoptic Area (ref)",-10
"1110006E14RIK","Preoptic Area (ref)",10
"MBII-343","Preoptic Area (ref)",10
"MIRG","Preoptic Area (ref)",10
"ZDBF2","Preoptic Area (ref)",-10
"IMPACT","Preoptic Area (ref)",-10
"NDN","Preoptic Area (ref)",-10
"NIBP","Preoptic Area (ref)",-10
"AK139287","Preoptic Area (ref)",11.2413
"CCDC40-AS","Preoptic Area (ref)",-0.4
"PX00113D24","Preoptic Area (ref)",-4.8
"PEC2","Preoptic Area (ref)",-12
"ZIM3","Preoptic Area (ref)",-12
"AK142849","Preoptic Area (ref)",1.26
"MKRN3","Preoptic Area (ref)",-2.4
"IPW","Preoptic Area (ref)",-1.7
"B830012L14RIK","Preoptic Area (ref)",2.7
"ADAM23","Preoptic Area (ref)",-5.6
"COMMD1","Preoptic Area (ref)",-10
"UBE3A","Preoptic Area (ref)",-9.8
"WARS","Preoptic Area (ref)",-1.1
"BCL2L1","Preoptic Area (ref)",-2.2
"BLCAP","Preoptic Area (ref)",8.29
"CALCR","Preoptic Area (ref)",10
"MAGEL2","Preoptic Area (ref)",-10
"CDH15","Preoptic Area (ref)",-10
"COPG2","Preoptic Area (ref)",-10
"U80893","Preoptic Area (ref)",-10
"NR_015479-new","Preoptic Area (ref)",5.11
